Date,Salt
1890-05-15,33.807117
1890-06-15,33.71756
1890-07-15,33.668076
1890-08-15,33.676876
1890-09-15,33.61862
1890-10-15,33.52916
1890-11-15,33.702522
1890-12-15,33.778767
1891-01-15,33.871674
1891-02-15,33.929585
1891-03-15,34.04056
1891-04-15,33.090412
1891-05-15,33.63266
1891-06-15,33.774517
1891-07-15,33.622334
1891-08-15,33.080498
1891-09-15,32.511806
1891-10-15,33.74722
1891-11-15,34.118668
1891-12-15,34.01503
1892-01-15,33.565666
1892-02-15,33.58186
1892-03-15,33.0797
1892-04-15,33.280952
1892-05-15,33.45954
1892-06-15,33.284504
1892-07-15,33.2814
1892-08-15,33.37876
1892-09-15,33.274982
1892-10-15,33.624954
1892-11-15,33.73386
1892-12-15,33.904007
1893-01-15,33.8107
1893-02-15,33.401264
1893-03-15,32.05375
1893-04-15,32.798256
1893-05-15,33.288254
1893-06-15,33.214638
1893-07-15,33.28862
1893-08-15,33.100273
1893-09-15,31.974854
1893-10-15,32.084114
1893-11-15,33.485622
1893-12-15,33.926716
1894-01-15,34.011936
1894-02-15,33.701508
1894-03-15,33.812397
1894-04-15,33.679295
1894-05-15,33.207073
1894-06-15,33.757717
1894-07-15,33.84446
1894-08-15,33.085274
1894-09-15,32.403275
1894-10-15,31.237629
1894-11-15,33.478474
1894-12-15,33.763073
1895-01-15,34.088257
1895-02-15,34.190495
1895-03-15,34.03963
1895-04-15,33.59976
1895-05-15,33.859104
1895-06-15,33.8401
1895-07-15,33.238205
1895-08-15,32.387455
1895-09-15,31.6346
1895-10-15,31.493479
1895-11-15,32.86658
1895-12-15,33.72744
1896-01-15,34.191364
1896-02-15,34.14141
1896-03-15,33.54756
1896-04-15,33.681767
1896-05-15,33.618263
1896-06-15,33.444298
1896-07-15,33.47112
1896-08-15,32.46798
1896-09-15,31.425879
1896-10-15,32.189137
1896-11-15,32.838257
1896-12-15,32.989666
1897-01-15,33.20828
1897-02-15,32.953014
1897-03-15,32.792305
1897-04-15,33.108746
1897-05-15,33.186897
1897-06-15,33.15436
1897-07-15,33.37787
1897-08-15,33.345833
1897-09-15,33.21916
1897-10-15,33.37509
1897-11-15,33.573498
1897-12-15,33.881927
1898-01-15,33.90118
1898-02-15,33.65697
1898-03-15,33.86425
1898-04-15,34.038628
1898-05-15,33.512688
1898-06-15,33.6405
1898-07-15,33.654137
1898-08-15,33.50819
1898-09-15,33.428925
1898-10-15,33.53673
1898-11-15,33.658855
1898-12-15,33.70231
1899-01-15,33.145107
1899-02-15,34.039253
1899-03-15,33.69377
1899-04-15,33.592194
1899-05-15,32.8211
1899-06-15,33.346405
1899-07-15,33.28603
1899-08-15,32.80199
1899-09-15,31.585136
1899-10-15,31.818174
1899-11-15,33.03684
1899-12-15,33.884502
1900-01-15,32.90834
1900-02-15,32.6909
1900-03-15,32.928646
1900-04-15,33.834824
1900-05-15,33.804783
1900-06-15,33.53314
1900-07-15,33.402657
1900-08-15,33.054302
1900-09-15,32.993343
1900-10-15,33.316113
1900-11-15,33.39701
1900-12-15,33.69865
1901-01-15,33.723156
1901-02-15,33.732307
1901-03-15,33.397736
1901-04-15,32.32631
1901-05-15,33.057785
1901-06-15,33.623516
1901-07-15,33.668774
1901-08-15,33.53384
1901-09-15,33.799236
1901-10-15,33.82056
1901-11-15,33.62429
1901-12-15,33.48314
1902-01-15,33.751472
1902-02-15,32.919357
1902-03-15,33.533096
1902-04-15,33.2219
1902-05-15,33.477924
1902-06-15,33.79049
1902-07-15,33.448486
1902-08-15,33.36053
1902-09-15,33.203274
1902-10-15,33.41424
1902-11-15,33.809937
1902-12-15,33.80969
1903-01-15,33.78253
1903-02-15,33.57825
1903-03-15,33.165154
1903-04-15,31.821371
1903-05-15,33.021194
1903-06-15,33.300037
1903-07-15,33.427963
1903-08-15,32.92836
1903-09-15,32.931404
1903-10-15,33.344414
1903-11-15,33.40494
1903-12-15,33.38587
1904-01-15,33.578373
1904-02-15,33.331745
1904-03-15,34.008396
1904-04-15,34.035362
1904-05-15,33.47373
1904-06-15,33.45458
1904-07-15,33.254425
1904-08-15,32.32059
1904-09-15,31.5864
1904-10-15,31.25925
1904-11-15,32.96079
1904-12-15,33.39715
1905-01-15,34.099503
